id,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
0,36,Travel_Frequently,599,Research & Development,24,3,Medical,1,4,Male,42,3,1,Laboratory Technician,4,Married,2596,5099,1,Y,Yes,13,3,2,80,1,10,2,3,10,0,7,8,0
1,35,Travel_Rarely,921,Sales,8,3,Other,1,1,Male,46,3,1,Sales Representative,1,Married,2899,10778,1,Y,No,17,3,4,80,1,4,3,3,4,2,0,3,0
2,32,Travel_Rarely,718,Sales,26,3,Marketing,1,3,Male,80,3,2,Sales Executive,4,Divorced,4627,16495,0,Y,No,17,3,4,80,2,4,3,3,3,2,1,2,0
3,38,Travel_Rarely,1488,Research & Development,2,3,Medical,1,3,Female,40,3,2,Healthcare Representative,1,Married,5347,13384,3,Y,No,14,3,3,80,0,15,1,1,6,0,0,2,0
4,50,Travel_Rarely,1017,Research & Development,5,4,Medical,1,2,Female,37,3,5,Manager,1,Single,19033,19805,1,Y,Yes,13,3,3,80,0,31,0,3,31,14,4,10,1
5,27,Travel_Rarely,566,Research & Development,2,3,Other,1,3,Female,56,3,2,Manufacturing Director,2,Single,4197,7103,5,Y,No,11,3,4,80,0,6,0,3,1,0,1,0,0
6,34,Travel_Rarely,944,Research & Development,10,4,Medical,1,2,Male,36,3,1,Laboratory Technician,1,Single,1281,16900,1,Y,No,13,3,1,80,0,1,2,3,1,0,0,0,0
7,40,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,4,Male,74,3,1,Laboratory Technician,4,Divorced,3067,12916,2,Y,No,12,3,4,80,1,6,3,2,3,2,1,2,0
8,51,Travel_Frequently,1297,Sales,6,3,Life Sciences,1,4,Male,43,1,2,Sales Executive,4,Married,6439,21221,8,Y,Yes,13,3,1,80,1,18,3,3,16,14,4,9,0
9,25,Travel_Rarely,806,Research & Development,9,1,Medical,1,3,Female,82,3,1,Laboratory Technician,3,Married,2741,7950,1,Y,No,15,3,3,80,1,9,2,2,9,7,7,8,0
10,35,Travel_Rarely,885,Research & Development,8,3,Technical Degree,1,2,Female,68,3,1,Research Scientist,3,Married,2691,13586,1,Y,Yes,21,4,3,80,1,10,2,3,10,9,1,9,0
11,29,Travel_Rarely,694,Research & Development,28,3,Life Sciences,1,3,Female,65,3,3,Manufacturing Director,3,Married,8628,13939,0,Y,No,11,3,4,80,0,10,2,3,9,0,0,7,0
12,38,Travel_Rarely,138,Research & Development,2,2,Life Sciences,1,4,Female,95,2,1,Research Scientist,2,Married,3280,7288,8,Y,Yes,12,3,3,80,0,4,2,2,2,2,2,2,0
13,48,Travel_Rarely,1287,Research & Development,2,2,Life Sciences,1,2,Male,81,2,1,Research Scientist,2,Married,2387,4759,2,Y,No,11,3,3,80,1,17,3,3,7,7,4,7,0
14,26,Travel_Rarely,884,Research & Development,1,2,Life Sciences,1,4,Male,62,3,1,Research Scientist,3,Single,3102,4284,6,Y,Yes,16,3,4,80,0,6,2,3,5,4,1,4,0
15,39,Travel_Frequently,640,Research & Development,25,4,Medical,1,1,Male,81,3,2,Research Scientist,3,Single,4449,6194,1,Y,No,21,4,3,80,0,20,2,2,20,9,6,10,0
16,33,Travel_Rarely,894,Research & Development,11,2,Life Sciences,1,3,Female,83,3,1,Research Scientist,3,Married,2539,16192,8,Y,No,12,3,4,80,1,4,2,3,2,2,2,2,0
17,52,Travel_Rarely,607,Research & Development,2,4,Technical Degree,1,2,Female,56,3,3,Manufacturing Director,3,Single,7441,21143,7,Y,No,13,3,4,80,0,28,5,1,10,2,0,8,0
18,42,Travel_Rarely,1495,Research & Development,9,4,Life Sciences,1,4,Female,87,3,4,Manager,1,Single,17169,3449,0,Y,No,14,3,4,80,0,21,1,1,20,7,0,8,0
19,25,Non-Travel,1092,Research & Development,1,1,Medical,1,4,Female,96,3,2,Manufacturing Director,4,Married,4374,17000,1,Y,Yes,17,3,1,80,0,5,3,4,5,3,1,4,0
20,30,Travel_Rarely,1392,Research & Development,7,4,Life Sciences,1,2,Male,77,4,1,Research Scientist,2,Divorced,2413,26314,1,Y,Yes,18,3,3,80,1,10,3,2,10,7,0,1,0
21,50,Travel_Rarely,1082,Research & Development,2,5,Medical,1,3,Male,60,4,1,Laboratory Technician,1,Divorced,2436,17198,7,Y,No,19,3,3,80,1,8,3,3,5,4,0,3,0
22,51,Travel_Rarely,1107,Human Resources,2,3,Human Resources,1,1,Male,59,3,5,Manager,3,Married,19943,19982,3,Y,Yes,12,3,4,80,0,33,2,3,31,9,6,13,0
23,43,Travel_Rarely,530,Research & Development,2,3,Life Sciences,1,4,Female,51,3,1,Research Scientist,3,Single,3312,22474,3,Y,No,13,3,4,80,0,18,3,3,2,2,2,2,0
24,29,Travel_Frequently,746,Sales,18,3,Life Sciences,1,2,Female,62,4,2,Sales Executive,2,Single,4373,11512,1,Y,Yes,17,3,4,80,0,5,2,2,5,3,1,2,1
25,29,Travel_Rarely,1005,Research & Development,3,1,Life Sciences,1,2,Female,86,2,2,Manufacturing Director,2,Single,4834,9129,5,Y,No,24,4,3,80,0,10,1,2,1,0,0,0,0
26,35,Travel_Frequently,796,Sales,10,4,Marketing,1,2,Male,37,2,1,Sales Representative,3,Married,16015,24619,1,Y,Yes,14,3,4,80,1,2,2,3,2,2,2,2,0
27,29,Travel_Rarely,228,Sales,7,1,Life Sciences,1,1,Female,76,3,2,Sales Executive,4,Married,5296,25761,1,Y,No,13,3,4,80,1,10,3,3,10,0,0,0,0
28,26,Travel_Rarely,1358,Research & Development,18,1,Medical,1,3,Female,82,3,1,Research Scientist,3,Married,2389,14229,3,Y,No,11,3,2,80,1,8,2,3,2,1,2,2,0
29,24,Travel_Rarely,959,Sales,10,3,Life Sciences,1,4,Male,62,3,1,Sales Representative,4,Married,9396,7246,1,Y,No,12,3,1,80,1,1,3,3,1,0,0,0,0
30,41,Travel_Rarely,1276,Research & Development,10,4,Medical,1,2,Male,95,3,2,Healthcare Representative,3,Married,6142,5174,2,Y,Yes,12,3,1,80,1,12,4,3,5,4,0,2,0
31,34,Travel_Frequently,1349,Research & Development,6,3,Medical,1,3,Male,75,3,2,Laboratory Technician,2,Married,4490,3449,0,Y,Yes,18,3,2,80,1,10,2,3,9,8,3,7,0
32,35,Travel_Rarely,154,Sales,10,4,Marketing,1,1,Male,54,3,2,Sales Executive,4,Single,5228,23848,0,Y,No,15,3,3,80,0,10,5,3,9,7,1,7,0
33,47,Travel_Frequently,1277,Research & Development,1,4,Life Sciences,1,3,Male,82,1,2,Manufacturing Director,2,Married,5562,25440,9,Y,No,11,3,4,80,1,15,5,3,13,11,2,12,0
34,31,Travel_Rarely,979,Human Resources,28,4,Life Sciences,1,1,Male,95,2,2,Human Resources,3,Divorced,5745,12368,1,Y,No,13,3,4,80,2,10,3,4,10,7,3,8,0
35,56,Travel_Rarely,300,Research & Development,3,4,Life Sciences,1,3,Male,73,2,1,Laboratory Technician,2,Married,3780,4257,3,Y,Yes,12,3,3,80,2,5,3,3,0,0,0,0,0
36,38,Non-Travel,555,Sales,7,3,Life Sciences,1,3,Male,48,3,3,Sales Executive,2,Married,9985,9262,0,Y,No,13,3,2,80,1,10,2,3,9,2,6,8,0
37,38,Travel_Rarely,874,Research & Development,2,3,Other,1,3,Male,52,2,1,Laboratory Technician,4,Married,3780,5598,1,Y,No,11,3,3,80,1,11,2,2,5,2,2,3,0
38,33,Travel_Rarely,1443,Research & Development,1,3,Medical,1,3,Female,71,2,2,Manufacturing Director,2,Married,6949,16530,1,Y,No,14,3,2,80,0,13,2,3,13,8,6,9,0
39,42,Travel_Frequently,933,Research & Development,1,4,Life Sciences,1,2,Male,71,4,5,Manager,4,Married,19033,8059,9,Y,No,14,3,1,80,1,24,1,3,20,6,0,13,0
40,27,Travel_Rarely,833,Research & Development,8,3,Medical,1,4,Female,78,2,1,Laboratory Technician,3,Married,2398,17231,1,Y,Yes,22,4,3,80,1,1,3,2,1,0,0,0,1
41,52,Travel_Rarely,1107,Sales,8,4,Life Sciences,1,4,Female,48,3,4,Sales Executive,2,Married,12965,17491,2,Y,No,13,3,3,80,1,24,2,3,8,5,7,7,0
42,36,Travel_Rarely,1001,Research & Development,8,4,Other,1,3,Female,79,3,2,Laboratory Technician,4,Divorced,2018,25174,7,Y,No,11,3,3,80,2,15,4,3,1,0,0,0,0
43,31,Travel_Rarely,469,Sales,1,3,Marketing,1,1,Male,56,1,1,Sales Representative,3,Married,2853,22245,4,Y,Yes,22,4,1,80,1,4,2,3,0,0,0,0,1
44,44,Travel_Rarely,796,Research & Development,10,4,Medical,1,2,Female,70,3,1,Laboratory Technician,2,Married,2795,11162,1,Y,No,14,3,2,80,0,16,4,3,16,9,13,8,0
45,28,Travel_Frequently,1217,Research & Development,17,1,Life Sciences,1,2,Male,72,3,2,Manufacturing Director,3,Married,5744,22490,3,Y,Yes,12,3,3,80,1,6,1,3,3,2,1,2,0
46,46,Travel_Rarely,301,Research & Development,14,3,Life Sciences,1,3,Female,100,3,3,Manufacturing Director,1,Divorced,10932,17491,7,Y,No,14,3,2,80,1,16,5,2,4,3,0,3,0
47,29,Travel_Rarely,119,Research & Development,17,3,Other,1,2,Male,93,3,3,Research Director,4,Divorced,12169,8770,1,Y,Yes,18,3,4,80,3,10,2,2,10,9,2,9,1
48,18,Travel_Rarely,1469,Research & Development,3,3,Life Sciences,1,1,Female,90,1,1,Laboratory Technician,4,Single,1611,9148,1,Y,No,19,3,2,80,0,0,2,3,0,0,0,0,1
49,27,Non-Travel,994,Sales,1,3,Medical,1,4,Female,86,3,2,Sales Executive,1,Single,9714,7259,0,Y,Yes,12,3,3,80,0,6,2,3,5,3,4,3,0
50,41,Travel_Rarely,932,Research & Development,7,4,Medical,1,1,Male,54,2,1,Laboratory Technician,4,Married,2836,8891,1,Y,No,15,3,4,80,1,10,6,3,10,8,3,7,0
51,36,Travel_Rarely,809,Research & Development,25,3,Life Sciences,1,4,Female,96,3,2,Research Scientist,3,Married,4787,9192,5,Y,No,18,3,4,80,1,10,3,3,3,2,0,2,0
52,45,Travel_Rarely,1179,Sales,9,2,Life Sciences,1,4,Female,64,3,3,Sales Executive,1,Divorced,8321,16090,3,Y,Yes,14,3,4,80,1,9,3,3,6,5,1,3,0
53,33,Travel_Rarely,1434,Sales,2,3,Marketing,1,1,Male,97,3,1,Sales Representative,1,Divorced,3057,20763,3,Y,No,12,3,2,80,2,4,2,3,0,0,0,0,0
54,34,Travel_Rarely,869,Research & Development,1,4,Medical,1,2,Male,40,3,1,Research Scientist,4,Single,2132,19944,3,Y,No,12,3,2,80,0,9,2,3,1,0,0,0,0
55,34,Travel_Rarely,1198,Research & Development,2,3,Life Sciences,1,3,Male,96,2,1,Research Scientist,3,Single,2468,13137,9,Y,Yes,18,3,3,80,0,6,4,3,2,2,2,2,0
56,37,Travel_Rarely,1427,Research & Development,1,4,Life Sciences,1,2,Male,48,3,1,Laboratory Technician,4,Married,3441,21643,9,Y,No,15,3,3,80,0,9,2,2,3,2,1,2,0
57,44,Travel_Rarely,1383,Research & Development,1,4,Other,1,3,Female,54,3,1,Laboratory Technician,4,Divorced,4724,11103,1,Y,No,14,3,1,80,1,10,2,3,10,9,0,8,0
58,28,Travel_Frequently,528,Research & Development,4,3,Medical,1,1,Female,84,3,1,Research Scientist,1,Divorced,2683,2851,1,Y,No,14,3,1,80,1,6,5,1,6,5,1,2,0
59,29,Travel_Frequently,1082,Sales,7,3,Marketing,1,3,Male,46,3,1,Sales Representative,3,Single,2379,20308,5,Y,No,11,3,2,80,0,6,3,4,2,2,2,2,1
60,38,Travel_Rarely,548,Research & Development,4,4,Life Sciences,1,3,Male,75,3,1,Research Scientist,3,Married,2544,23398,4,Y,Yes,16,3,4,80,1,12,2,3,8,7,1,5,0
61,27,Travel_Rarely,1097,Research & Development,16,4,Life Sciences,1,4,Male,82,3,1,Research Scientist,4,Married,2362,8828,1,Y,No,14,3,2,80,1,6,1,2,6,4,1,3,0
62,39,Travel_Rarely,1413,Sales,3,3,Life Sciences,1,4,Male,78,3,4,Sales Executive,3,Married,13194,15276,3,Y,No,17,3,1,80,2,18,4,3,0,0,0,0,0
63,38,Travel_Rarely,322,Sales,6,2,Medical,1,4,Female,38,3,2,Sales Executive,3,Married,5605,16495,4,Y,No,14,3,3,80,1,13,3,3,11,8,5,8,0
64,50,Travel_Rarely,319,Research & Development,15,2,Life Sciences,1,4,Male,46,3,5,Research Director,3,Married,19161,14977,5,Y,Yes,11,3,3,80,1,23,3,3,4,1,0,3,0
65,29,Travel_Rarely,1401,Research & Development,3,4,Life Sciences,1,3,Male,52,3,2,Research Scientist,2,Married,4787,16225,1,Y,No,19,3,1,80,2,10,3,3,10,8,0,9,0
66,29,Travel_Rarely,477,Research & Development,24,2,Life Sciences,1,1,Female,33,2,1,Research Scientist,1,Divorced,2496,9679,1,Y,No,14,3,1,80,1,1,2,3,1,0,0,0,1
67,43,Travel_Rarely,999,Research & Development,10,3,Medical,1,3,Female,96,3,5,Manager,2,Single,19436,15896,3,Y,No,11,3,4,80,0,21,6,3,20,18,3,9,0
68,33,Travel_Rarely,1223,Sales,2,4,Marketing,1,3,Female,72,3,2,Sales Executive,1,Divorced,5507,5518,0,Y,No,14,3,1,80,1,6,2,3,5,3,1,3,0
69,38,Travel_Rarely,769,Research & Development,23,3,Life Sciences,1,4,Male,95,4,2,Healthcare Representative,3,Married,4422,5456,1,Y,No,17,3,3,80,2,13,4,3,11,10,1,8,0
70,49,Travel_Frequently,1339,Research & Development,18,3,Life Sciences,1,3,Female,53,3,3,Research Director,4,Divorced,10725,12477,0,Y,Yes,11,3,4,80,3,20,2,3,19,10,1,7,0
71,26,Travel_Rarely,523,Research & Development,10,3,Other,1,1,Female,58,3,2,Manufacturing Director,3,Single,6162,16495,1,Y,No,18,3,2,80,0,8,3,3,8,7,1,6,0
72,26,Travel_Frequently,1277,Research & Development,2,2,Medical,1,3,Male,80,2,1,Laboratory Technician,3,Single,3875,25265,0,Y,No,15,3,1,80,0,6,5,3,5,2,1,2,0
73,33,Travel_Rarely,1003,Research & Development,15,2,Life Sciences,1,1,Female,98,3,2,Healthcare Representative,3,Single,4448,10842,1,Y,No,12,3,3,80,0,7,3,3,5,4,1,3,0
74,53,Travel_Rarely,1018,Research & Development,3,3,Medical,1,4,Female,95,4,4,Manager,4,Single,17099,7790,2,Y,No,17,3,3,80,0,26,3,3,5,4,1,2,0
75,41,Travel_Rarely,672,Research & Development,10,4,Medical,1,2,Male,73,3,5,Research Scientist,3,Married,19626,17312,1,Y,Yes,12,3,1,80,1,21,1,3,20,18,11,10,0
76,54,Travel_Rarely,933,Research & Development,4,2,Medical,1,3,Male,87,3,5,Research Director,4,Single,19513,11806,7,Y,Yes,17,3,4,80,0,32,2,3,5,4,1,4,0
77,34,Travel_Rarely,1099,Sales,10,4,Life Sciences,1,1,Male,64,3,2,Sales Executive,4,Single,5346,11873,1,Y,No,14,3,2,80,0,9,3,3,9,0,7,7,0
78,34,Travel_Rarely,1082,Sales,6,4,Life Sciences,1,3,Male,82,3,3,Sales Executive,4,Single,7637,2373,9,Y,No,11,3,3,80,0,10,2,3,3,2,2,2,0
79,35,Travel_Frequently,1396,Research & Development,11,1,Life Sciences,1,1,Female,37,1,4,Manager,4,Married,13348,19757,1,Y,Yes,14,3,3,80,0,33,3,3,33,10,13,8,1
80,43,Non-Travel,465,Research & Development,2,2,Medical,1,4,Male,65,2,2,Manufacturing Director,3,Divorced,6220,14074,1,Y,No,12,3,3,80,2,10,0,2,10,8,1,9,0
81,28,Travel_Rarely,1333,Research & Development,24,3,Other,1,2,Male,59,2,1,Research Scientist,3,Divorced,2564,9100,1,Y,Yes,23,4,4,80,1,1,2,3,1,1,0,0,1
82,35,Travel_Rarely,604,Research & Development,7,4,Life Sciences,1,2,Male,96,3,2,Healthcare Representative,3,Single,5309,6161,1,Y,Yes,16,3,3,80,0,17,3,3,15,12,6,10,0
83,33,Travel_Rarely,1206,Research & Development,10,1,Life Sciences,1,2,Male,89,3,1,Laboratory Technician,3,Single,2559,16374,1,Y,No,19,3,1,80,0,1,5,2,1,0,0,0,0
84,26,Travel_Rarely,640,Research & Development,9,1,Life Sciences,1,1,Female,73,3,1,Laboratory Technician,1,Divorced,3989,20364,1,Y,Yes,19,3,1,80,1,8,2,3,8,7,0,5,0
